Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
07/29/2026 10:00 AM ET,"2771 ASHLEY DR E J WEST PALM BEACH, FL- 33415","$77,367.37","$98,182.00","$44,500.00",502025CA012021XXXAMB,00424413150020100,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502025CA012021XXXAMB&bypassPage=1,https://pcpao.gov/Parcel-Details/00424413150020100
07/30/2026 10:00 AM ET,"136 LAKESHORE DR 511 NORTH PALM BEACH, FL- 33408","$845,221.72",,Hidden,502025CA008176XXXAMB,68434209230005110,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502025CA008176XXXAMB&bypassPage=1,https://pcpao.gov/Parcel-Details/68434209230005110
07/30/2026 10:00 AM ET,"6935 DEARBORN PL BOYNTON BEACH, FL- 33437","$183,070.80",,"$183,070.80",502025CA008285XXXAMB,00424522010001970,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502025CA008285XXXAMB&bypassPage=1,https://pcpao.gov/Parcel-Details/00424522010001970
07/30/2026 10:00 AM ET,"945 NW 29TH AVE C DELRAY BEACH, FL- 33445","$14,871.87",,"$14,871.87",502025CC004359XXXAMB,12434607040340030,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502025CC004359XXXAMB&bypassPage=1,https://pcpao.gov/Parcel-Details/12434607040340030
07/30/2026 10:00 AM ET,"4521 CHALLENGER WAY 72 WEST PALM BEACH, FL- 33417","$10,088.64",,"$10,088.64",502026CA000447XXXAMB,00424312150000720,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502026CA000447XXXAMB&bypassPage=1,https://pcpao.gov/Parcel-Details/00424312150000720
08/03/2026 10:00 AM ET,"950 PASEO MORELLA WEST PALM BEACH, FL- 33405","$333,350.92",,"$333,350.92",502022CA010679XXXXMB,74434333060070130,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502022CA010679XXXXMB&bypassPage=1,https://pcpao.gov/Parcel-Details/74434333060070130
08/03/2026 10:00 AM ET,"22035 SW 58TH AVE BOCA RATON, FL- 33428","$322,965.01",,"$301,908.75",502024CA002272XXXAMB,00424730060220490,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502024CA002272XXXAMB&bypassPage=1,https://pcpao.gov/Parcel-Details/00424730060220490
08/03/2026 10:00 AM ET,"950 EGRET CIR 5507 DELRAY BEACH, FL- 33444","$22,258.22",,"$27,810.56",502024CA009270XXXAMB,12434629160055507,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502024CA009270XXXAMB&bypassPage=1,https://pcpao.gov/Parcel-Details/12434629160055507
08/03/2026 10:00 AM ET,"17029 TETON RIVER RD BOCA RATON, FL- 33496","$1,690,708.03",,"$1,690,708.03",502024CA011242XXXAMB,00424632100007590,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502024CA011242XXXAMB&bypassPage=1,https://pcpao.gov/Parcel-Details/00424632100007590
08/03/2026 10:00 AM ET,"4490 ISLAND REEF DR WELLINGTON, FL- 33449","$18,415.59",,"$18,415.59",502024CC011528XXXAMB,73414426050001610,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502024CC011528XXXAMB&bypassPage=1,https://pcpao.gov/Parcel-Details/73414426050001610
08/03/2026 10:00 AM ET,"14717 WILDFLOWER LN DELRAY BEACH, FL- 33446","$21,901.14",,"$124,833.29",502025CA004914XXXAMB,Property,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502025CA004914XXXAMB&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
08/03/2026 10:00 AM ET,"90 SOUTH BLVD 1D BOYNTON BEACH, FL- 33435","$686,092.92",,"$69,200.00",502025CA006968XXXAMB,Property,https://palmbeach.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=502025CA006968XXXAMB&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
